State,Updated Notes,Changes,Final Grade,Grade for Visualization,Grade (anything in parentheses is more generous grading),Reasoning (Presentable),Reasoning,How to improve (rough thoughts),Questions,Math Standards Link,Standards/curriculum cont.,CS Standards Link,Standards related to data science,"NGSS- Have data analysis, interpretation, modeling; though very narrowly focused on science concepts, not clear how advanced/applicable it will be ",CTE if it has relevant material (if nothing then no state-wide list),CTE Hyperlink,Separate class/curriculum or incorporated into other classes,Taking Initiative/state level focus? (has it been in the news recently/are there dedicated programs),Levels of instruction,"Grad Requirements (flexibility) in math, data science (note individual districts may have more specifics)",Grad Requirement cont.,Availability/Access,Public university entry requirements  math- most specify they want you to take challenging courswork,Other notes,,Other
Alabama,"Cross check with field implementation. Alabama wasn't famous for its advance math education system. If the public universites still require Alg I, Geo and Alg II, how are the teachers incorporating DS? ",Moved downward,C+,C,C+,"Alabama has excellent standards for statistics and data analysis in their K12 education framework, including an innovative Geometry with Data Analysis course. However, most of the exposure to these topics, especially with intensive technology applications and advanced data science, happens within elective educational units if at all. We suggest including more data science standards in the traditional, hopefully mandatory, math curricula. ",Good stats and data analysis units in math standards; standards are K-12; use of tech; data analysis in some math elective,More obvious/thorough data analysis in viable math electives,How long are stats/data science units?,https://www.alabamaachieves.org/academic-standards/#Mathematics,"Involve vizualizing data, drawing conclusions from data, making data-based decision, ""quantitative literacy"" (stats + data science); suggests using technology for data analysis",https://www.alabamaachieves.org/academic-standards/#Digital_Literacy_and_Computer_Science,"Required sequence (2019) of high school math incorporates data analysis, stats, and probability; basic data collection and analysis at lower levels",Standards based off NGSS framework,,N/A,"Incorporated into traditional math sequence (note sequence is geo, alg I, alg II)",State decided to add more stats/data analysis,"K-8 emphasises familiarity with data, sampling, and very basic stats; ""quantitative literacy"" and most of the detailed data science is high school level","4 years math required, specifies 3 courses (Algebra I, Geo, Alg II) with the 4th being a choice","Additional 4th course could be ""Mathematical Modeling"" which has some data analysis/math applications in it","Statewide requirements adopted 2019; prior to that ranked very low in math education, effect of new standards undetermined as of now. CS required in high schools by 2022-2023 school year","Requires 3 units including Alg I, Alg II, and Geo/Calc/Trig; recommends computer literacy as additional course",,,
Alaska,,,D-,D,D-,"Alaska has very basic statistics standards and limited data analysis standards. Interestingly, most of the applicaiton of those standards occurs during middle school years. We suggest incorporting those standards into high school years, as well as establishing more standards specifically related to data science and data literacy.","Very basic stats standards that are vague; little bit of data interpretation in math, comp sci; decent stats in middle school","State plan, put in math classes",,https://education.alaska.gov/standards/mathematics,,https://education.alaska.gov/standards/computer-science,"Data and Analysis component of comp sci courses, involving computational tools, spreadsheets, applications to real world data sets, etc; not terribly specific",Standards based off NGSS framework,,N/A,Part of computer science standards (adopted 2019),Focus on comp sci,"Scaling standards for each grade up to high school, then two standards for high school","3 units of math required, doesn't specify certain courses/sequence, but many traditional concepts are required under educational standards","Computer science does not appear to be counted as math credit (elective or technical education), so data science won't count towards math requirement","Available at high school level in larger district at least, but fairly low participation rates (due to elective status?)","Varies based school, but Fairbanks suggest 3/4 years of ""college prep"" math",,,
Arizona,,,D-,D,D-,"Arizona has some standards related to statistics in computer science, but not much focusing on data analysis. We suggest developing more robust standards regarding data analysis, quantitative visualization and data science, especially in the math curricula.","Math standards cover some stats, but not much data analysis; some in comp sci","More robust standards covering data analysis, not just basic stats",,https://www.azed.gov/standards-practices/k-12standards/mathematics-standards,Math standards for Algebra II contain some instruction on data interpretation,https://www.azed.gov/standards-practices/standards-computer-science/,Computer science standards from 2018 contain a bit of instruction on interpreting and using data to support claims,Standards based off NGSS framework,"""Business Operations"" includes using spreadsheets to analyze data",N/A,Part of comp sci and math classes,Little focus,"Relevant data literacy aspects of comp sci are mostly middle school, and aspects of math curriculum are for high school","4 units of math required, including Alg I, Geo, Alg II, and a fourth course","It appears comp sci can substitute for the Alg II credit in some cases, and can also count as the 4th math credit","Standards adopted statewide; previously comp sci was not widely taught, unclear if that has changed",4 years math,,,
Arkansas,CTE sequence spotlighted + teacher PD. No other plans to add to K-12 mathematics at this time though.,Moved upward,B-,B,B-,"Arkansas has some statistics and data analysis standards in their K12 math education framework. Additionally, the Arkansas Department of Education has created an innovative three-course sequence explicitly for Data Science, as a joint collaboration between K-12 Computer Science and Career & Technical Education offerings. Several districts have began to implement the course pathway, and the state has dedicated funding for teacher professional development. However, most of the exposure to those topics occurs in elective educational units or transitional courses. We suggest including more robust data science standards in the traditional, hopefully mandatory, math curricula. ","Math standards cover some stats, potential electives in math and comp sci cover data science but are either transitional courses or not widely taken","More robust standards covering data analysis, not just basic stats; also math electives that are more accessible. Could improve if math electives are widely taken",,https://dese.ade.arkansas.gov/Offices/learning-services/curriculum-support/mathematics-standards-and-courses,"""Quantitative Literacy"" class involves the application of math to real life (personal and business finance), but included some material on data and drawing conclusions; but transitional course",https://dese.ade.arkansas.gov/Offices/ar-comp-sci-initiative/computer-science-standards-and-courses,"As of 2021-2022 school year, have new ""data science"" courses for high school under comp sci, but seem fairly focused on computers--data in relation to computers, algorithms, impact of computers, etc",Adopted,"Arkansas has developed a new three-course sequence for data science, of which districts around the state can now choose to adopt. ",https://dcte.ade.arkansas.gov/docs/Resources//STEM%20POS%20Pathways%20with%20Certifications%20March%202021.pdf,"Data science  and Quantitative Literacy are both separate, likely taken senior years after Alg II or potentially as a substitute for Alg II",Focus on comp sci at state level,"High school, some stats/data analysis in comp sci and math","4 courses of math required, including Alg I and Geo, and for SmartCore (which they want students to do) Alg II and another course such as comp sci","Comp sci not required, but counts for math credit",Comp sci standards new this year,"4 years, including Alg I, Geo, Alg II, and a fourth year beyond Alg II or comp sci",,,
California ,"Framework adoption is tentative, though robustly includes DS. No resources for instruction",Moved slightly down. ,B-,B,B-,"California has an excellent focus on data science in their proposed mathematics framework, including data science standards that extend into middle school, and modernized data-related content in elementary. Multiple data science electives in high school have also been approved the University of California A-G requirements. However, the new framework has yet to be adopted. Aside from the forthcoming framework, the state has yet to make additional resources available for teacher training or instruction support. We look forward to seeing the concrete application of the new framework. ","Math standards have some focus on data; excellent focus on data science in new math framework, but nothing concrete from it yet (and potential delays due to controversial aspects) so don't get full credit","If data science focus translates to concrete improvements, could easily move to B/A",How far along is this initiative/how much credit do they get?,https://www.cde.ca.gov/ci/ma/cf/,"Program in LA for IDS curriculum (RISC involvement). Recent guidance emphasizes data science as a math course in high school,",https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp,New comp sci standards (2018) have some material on vizualizing/analyzing data; math curriculum includes basic stats/probability instruction,Adopted,Teaches use of spreadsheets in a CTE elective.,N/A,"Incorporated into math/comp sci curriculum, except for IDS program",Focus on comp sci at state level,"High school, stats in middle school","2 years of math required, including Alg I--therefore fairly flexible but no incentive to take certain classes","Data science counts for math credit, seems to be separate pathway?","IDS curriculum in LA school district only, computer science being adopted statewide. Guidance likely too new to have had effect yet, also what is RISC's position on equity/loss of accelerated options also emphasized by the guidance?",3 years that include algebra and geo content; the more selective schools will probably expect more rigorous coursework,,,
Colorado,,,D-,D,D-,"Colorado has very promising math standards, but those standards have a limited scope regarding data science. We suggest expanding and clarifying the aspects of the math standards that cover data science and applied statistics, as well as incorporating such standards into earlier grades. ","Math standards show some promise, but aren't thorough enough to make the D grade; little bit in comp sci but not widely taken","State plan, expand and clarify math standards covering data science and stats; more in earlier grades",,"https://www.cde.state.co.us/apps/standards/4,15,10",Some general stats/probability incorporated into math curriculum,"https://www.cde.state.co.us/apps/standards/12,15,0","Computational thinking component of comp sci standards covers data vizualization and interpretation, as well as real-world applications",Standards based off NGSS framework,"Some coding, basic business data analysis instruction",N/A,Within comp sci and math classes,little focus; some funding for comp sci programs,high school,No state-wide graduation requirements based on classes; individual districts have different requirements but likely require some standard math classes,,"Comp sci standards and classes are optional offerings in high school, and particpation appears low","4 years math, including 2 Alg, 1 Geo, and another ""college prep""",,,
Connecticut,"APRIL CANN YOU REVIEW BASED ON YOUR CONVERSATION WITH ELIZABETH: Check with state lead, Elizabeth. I know they are quite eager to work with us to figure out ways to incorporate data science. +1 ZD, should be higher, I know they are doing work on standards I believe. ",Moved it up to C. Elizabeth and her team are in the process of developing data science / computational thinking courses.,C,C,C-,"Connecticut has solid standards regarding data analysis, but such standards are mostly associated wtih computer science, which is not yet taken as widely as by students as is math. We suggest exploring ways to expand students' access to data science education - either by making computer science mandatory or incorporating data science standards into the math framework.",Good data analysis standards but in comp sci for middle and high school (start early); common core math standards not very robust,Make comp sci mandatory or move data analysis elsewhere; ,I gave credit for optional comp sci; should we? Credit for allowing more flexibility in graduation?,http://www.corestandards.org/Math/Content/HSS/ID/,"Uses Common Core for math, has section on interpreting data",https://portal.ct.gov/SDE/Computer-Science/Computer-Science,"Section on data analysis, vizualization, and interpretation in comp sci standards",Adopted,"Little bit of data analysis in business instruction, also some coding/comp sci",N/A,In math and comp sci,Comp sci appears to be a focus; large bill passed last year,bill applies to K-12; data analysis aspects are mostly middle and high school ,Currently requires 3 math credits; class of 2023 changes to 9 credits for STEM courses,Class of 2023 standards allow for much more flexibility in terms of what courses can be taken to count towards graduation,"Comp sci required in high school now, standards state-wide","Alg I, Alg II, Geo","Project at UConn designed to add a unit on ""computational thinking"" to high school bio classes",A,
Delaware,,,D-,D,D-,Delaware has very basic statistics standards and limited standards regarding data science. We suggest expanding and clarifying math standards in order to cover data science and applied statistics.,"Straightforward: some comp sci and math standards, no state focus",State plan; incorporate data analysis standards into classes,,http://www.corestandards.org/Math/Content/HSS/ID/,"Uses Common Core for math, section in high school on interpreting data",https://www.csteachers.org/page/standards,"Follows CSTA K-12 standards, has limited instruction on data literacy/analysis ",Adopted,"Marketing contains data analytics, computer science program",N/A,Incorporated a little into other classes,little focus,mostly high school,"4 credits of math required, including Geo, Alg I, and Alg II",Comp sci doesn't appear to count towards a math requirement,Comp sci courses seem fairly available but only as electives,"3 years of math, recommends 4",,,
Florida,,,D-,D,D-,"Florida has an optional course with a solid unit on data analysis. However, the state's standards for mandatory math courses do not cover much beyond basic statistics. We suggest extending the data analysis aspects of the math elective into the mandatory math curricula, and/or potentially making the current elective course more inclusive to students of all calibre. ","Does have optional course with solid unit on data analysis, but mandatory standards for math don't cover very much beyond a little bit of stats for high school",Extend data analysis aspects of math elective into madatory standards; potentially make elective course more appealing to advanced students (currently appears as course for those not interested in higher level math),,https://www.fldoe.org/academics/standards/subject-areas/math-science/mathematics/bestmath.stml,"Math has standard stats/probability aspects, is also class called ""mathematics for Data and Financial Literacy"" which involves evaluating data and making predictions",https://www.cpalms.org/Standards/Computer_Science_Standards.aspx,Comp sci standards have section on modeling and simulation that includes some data analysis--not major focus though,No,"Courses on comp sci, databases",N/A,"In comp sci, sort of own data literacy class (w/ heavy emphasis on practicality) ",Comp sci has funding/initiative at state level,"standards for K-12, relevant data analysis found in high school section","4 math credits required, including Alg I and Geo. Comp sci can sub for one of those.",,"Standards state-wide, but as of 2018 only 33% of schools offer comp sci,","4 years including Alg I, Alg II, Geo",,,
Georgia,APRIL CAN YOU DOUBLE-CHECK REASONING IN COLUMN G. I KNOW YOU TALKED WITH THEM NOT TOO LONG AGO.,Checked my notes re: convo with George. ,C-,C,* C,"Georgia has great standards regarding data analysis. However, such standards currently sit within the computer science framework, which is not taken as widely as mathematics. We therefore suggest expanding the data analysis components into mandatory math standards. ",Standards have decent component of data analysis; no state focus,"Expand data analysis components in math standards, more state emphasis",Are these standards (middle and high) good enough to get a D as opposed to an F?,https://www.georgiastandards.org/Georgia-Standards/Documents/High-School-Mathematics-Standards.pdf,"Standard data analysis/stats part of math standards,",https://www.georgiastandards.org/Georgia-Standards/Pages/Computer-Science.aspx,Comp sci standards don't appear to have much on data literacy,Standards based off NGSS framework,"Use of spreadsheets for businesses, comp sci, ",N/A,Incorporated a little into other classes,little initiative at state level; Georgia State initiative,mostly high school,"4 units of math required, including Alg, Geo, and Advanced Alg",,Comp sci required in all high schools by 2024,4 years,Georgia state developing online modules to train teachers for student instruction-partner with Data Science for Everyone,,
